	adserver_id	day	label	c_25p	c_100p	c_start	c_adblock	c_error
71	2	2015-05-01	StickyAds	385.0	306.0	589.0	22975.0	4272.0
72	2	2015-05-02	StickyAds	133.0	100.0	219.0	18494.0	2918.0
73	2	2015-05-03	StickyAds	160.0	120.0	235.0	24766.0	4383.0
74	2	2015-05-04	StickyAds	259.0	178.0	426.0	25327.0	9386.0
75	2	2015-05-05	StickyAds	329.0	247.0	395.0	20997.0	14316.0
76	2	2015-05-06	StickyAds	262.0	198.0	304.0	22704.0	12052.0
77	2	2015-05-07	StickyAds	262.0	193.0	319.0	21772.0	9305.0
78	2	2015-05-08	StickyAds	152.0	120.0	163.0	17126.0	2493.0
79	2	2015-05-09	StickyAds	88.0	68.0	104.0	16829.0	1927.0
80	2	2015-05-10	StickyAds	82.0	61.0	100.0	17741.0	2451.0
81	2	2015-05-11	StickyAds	192.0	146.0	239.0	22692.0	16674.0
82	2	2015-05-12	StickyAds	222.0	169.0	261.0	16313.0	13600.0
83	2	2015-05-13	StickyAds	173.0	131.0	211.0	14949.0	14249.0
84	2	2015-05-14	StickyAds	68.0	54.0	81.0	14300.0	11590.0
85	2	2015-05-15	StickyAds	298.0	217.0	372.0	14279.0	15058.0
86	2	2015-05-16	StickyAds	155.0	115.0	192.0	10819.0	11853.0
87	2	2015-05-17	StickyAds	124.0	89.0	142.0	10235.0	10907.0
88	2	2015-05-18	StickyAds	314.0	211.0	390.0	11667.0	30019.0
89	2	2015-05-19	StickyAds	439.0	335.0	553.0	19921.0	36832.0
90	2	2015-05-20	StickyAds	3333.0	2509.0	4274.0	18196.0	19834.0
91	2	2015-05-21	StickyAds	3858.0	2903.0	5080.0	14497.0	7816.0
92	2	2015-05-22	StickyAds	862.0	603.0	1074.0	9757.0	10858.0
93	2	2015-05-23	StickyAds	1123.0	787.0	1446.0	9049.0	5673.0
94	2	2015-05-24	StickyAds	1290.0	929.0	1590.0	8765.0	2595.0
95	2	2015-05-25	StickyAds	2373.0	1676.0	2961.0	9527.0	3215.0
96	2	2015-05-26	StickyAds	2717.0	1970.0	3412.0	13132.0	4638.0
97	2	2015-05-27	StickyAds	2293.0	1747.0	2799.0	10655.0	4762.0
98	2	2015-05-28	StickyAds	1399.0	1072.0	1600.0	11646.0	6069.0
99	2	2015-05-29	StickyAds	1228.0	942.0	1440.0	12484.0	6081.0
100	2	2015-05-30	StickyAds	570.0	434.0	703.0	8132.0	4067.0
101	2	2015-05-31	StickyAds	1670.0	1307.0	2032.0	5584.0	3769.0
102	2	2015-06-01	StickyAds	3853.0	2824.0	4614.0	5992.0	3359.0
103	2	2015-06-02	StickyAds	1635.0	1193.0	2845.0	10702.0	3119.0
104	2	2015-06-03	StickyAds	2915.0	2160.0	3840.0	11315.0	2674.0
105	2	2015-06-04	StickyAds	223.0	152.0	552.0	8891.0	827.0
106	2	2015-06-05	StickyAds	77.0	49.0	185.0	10056.0	453.0
107	2	2015-06-06	StickyAds	14.0	6.0	27.0	7220.0	84.0
108	2	2015-06-07	StickyAds	8.0	4.0	18.0	8779.0	86.0
109	2	2015-06-08	StickyAds	163.0	122.0	264.0	10859.0	355.0
110	2	2015-06-09	StickyAds	46.0	33.0	103.0	9497.0	327.0
111	2	2015-06-10	StickyAds	130.0	109.0	270.0	10689.0	766.0
112	2	2015-06-11	StickyAds	124.0	97.0	323.0	8569.0	749.0
113	2	2015-06-12	StickyAds	3510.0	2322.0	5121.0	18268.0	5235.0
114	2	2015-06-13	StickyAds	7128.0	5254.0	10539.0	23486.0	5246.0
115	2	2015-06-14	StickyAds	6343.0	4844.0	9342.0	25541.0	4913.0
116	2	2015-06-15	StickyAds	7259.0	4634.0	12744.0	36075.0	13416.0
117	2	2015-06-16	StickyAds	8220.0	5389.0	15600.0	34750.0	6242.0
118	2	2015-06-17	StickyAds	1754.0	1079.0	3236.0	30855.0	2987.0
119	2	2015-06-18	StickyAds	195.0	143.0	301.0	27560.0	3569.0
120	2	2015-06-19	StickyAds	284.0	193.0	558.0	22425.0	3538.0
121	2	2015-06-20	StickyAds	704.0	498.0	1142.0	21110.0	3884.0
122	2	2015-06-21	StickyAds	732.0	481.0	1148.0	22576.0	5600.0
123	2	2015-06-22	StickyAds	407.0	258.0	712.0	26993.0	15730.0
124	2	2015-06-23	StickyAds	479.0	320.0	878.0	26636.0	12874.0
125	2	2015-06-24	StickyAds	805.0	551.0	1199.0	33056.0	13308.0
126	2	2015-06-25	StickyAds	1147.0	775.0	1553.0	39249.0	9107.0
127	2	2015-06-26	StickyAds	2344.0	1643.0	3186.0	41644.0	9265.0
128	2	2015-06-27	StickyAds	1874.0	1254.0	2819.0	31613.0	4744.0
129	2	2015-06-28	StickyAds	1370.0	925.0	2041.0	31352.0	3729.0
130	2	2015-06-29	StickyAds	1601.0	989.0	2399.0	36353.0	21118.0
131	2	2015-06-30	StickyAds	1284.0	840.0	1842.0	35840.0	16301.0
132	2	2015-07-01	StickyAds	4628.0	2870.0	7130.0	33037.0	18744.0
133	2	2015-07-02	StickyAds	11460.0	7365.0	15654.0	39721.0	13674.0
134	2	2015-07-03	StickyAds	13986.0	9143.0	18262.0	38941.0	17183.0
135	2	2015-07-04	StickyAds	20046.0	14464.0	24835.0	39021.0	16232.0
136	2	2015-07-05	StickyAds	17779.0	12358.0	22465.0	46498.0	11013.0
137	2	2015-07-06	StickyAds	10055.0	6682.0	14047.0	54070.0	52021.0
138	2	2015-07-07	StickyAds	20265.0	13490.0	28160.0	57191.0	59620.0
139	2	2015-07-08	StickyAds	13395.0	8994.0	18175.0	51493.0	57300.0
140	2	2015-07-09	StickyAds	12422.0	9040.0	16506.0	46884.0	53872.0
141	2	2015-07-10	StickyAds	2069.0	1453.0	2795.0	9676.0	14503.0
142	3	2015-05-01	TEST	23.0	13.0	37.0	0.0	0.0
143	3	2015-05-02	TEST	17.0	9.0	28.0	0.0	0.0
144	3	2015-05-03	TEST	38.0	21.0	67.0	1.0	0.0
145	3	2015-05-04	TEST	67.0	33.0	98.0	0.0	0.0
146	3	2015-05-05	TEST	120.0	50.0	164.0	0.0	0.0
147	3	2015-05-06	TEST	183.0	105.0	273.0	1.0	0.0
148	3	2015-05-07	TEST	53.0	25.0	79.0	0.0	0.0
149	3	2015-05-08	TEST	25.0	14.0	42.0	0.0	0.0
150	3	2015-05-09	TEST	75.0	39.0	118.0	1.0	0.0
151	3	2015-05-10	TEST	51.0	30.0	75.0	1.0	0.0
152	3	2015-05-11	TEST	51.0	27.0	71.0	0.0	0.0
153	3	2015-05-12	TEST	46.0	31.0	66.0	2.0	0.0
154	3	2015-05-13	TEST	93.0	64.0	149.0	0.0	0.0
155	3	2015-05-14	TEST	90.0	60.0	125.0	1.0	0.0
156	3	2015-05-15	TEST	142.0	77.0	254.0	2.0	0.0
157	3	2015-05-16	TEST	215.0	112.0	367.0	0.0	0.0
158	3	2015-05-17	TEST	211.0	114.0	339.0	3.0	0.0
159	3	2015-05-18	TEST	213.0	128.0	285.0	2.0	0.0
160	3	2015-05-19	TEST	295.0	170.0	447.0	3.0	0.0
161	3	2015-05-20	TEST	84.0	51.0	124.0	0.0	0.0
162	3	2015-05-21	TEST	90.0	54.0	143.0	0.0	0.0
163	3	2015-05-22	TEST	71.0	43.0	98.0	0.0	0.0
164	3	2015-05-23	TEST	84.0	54.0	118.0	0.0	0.0
165	3	2015-05-24	TEST	29.0	19.0	39.0	0.0	0.0
166	3	2015-05-25	TEST	76.0	32.0	109.0	1.0	0.0
167	3	2015-05-26	TEST	52.0	34.0	75.0	0.0	0.0
168	3	2015-05-27	TEST	95.0	49.0	145.0	2.0	0.0
169	3	2015-05-28	TEST	88.0	54.0	130.0	2.0	0.0
170	3	2015-05-29	TEST	140.0	84.0	214.0	0.0	0.0
171	3	2015-05-30	TEST	68.0	40.0	89.0	0.0	0.0
172	3	2015-05-31	TEST	43.0	19.0	56.0	0.0	0.0
173	3	2015-06-01	TEST	18.0	8.0	33.0	0.0	0.0
174	3	2015-06-02	TEST	29.0	14.0	47.0	0.0	0.0
175	3	2015-06-03	TEST	91.0	52.0	153.0	1.0	0.0
176	3	2015-06-04	TEST	112.0	66.0	183.0	2.0	1.0
177	3	2015-06-05	TEST	48.0	22.0	77.0	0.0	0.0
178	3	2015-06-06	TEST	41.0	21.0	59.0	0.0	0.0
179	3	2015-06-07	TEST	32.0	15.0	51.0	0.0	0.0
180	3	2015-06-08	TEST	45.0	23.0	83.0	1.0	0.0
181	3	2015-06-09	TEST	76.0	41.0	141.0	3.0	0.0
182	3	2015-06-10	TEST	80.0	50.0	134.0	0.0	0.0
183	3	2015-06-11	TEST	91.0	49.0	179.0	3.0	0.0
184	3	2015-06-12	TEST	3507.0	323.0	6366.0	18.0	0.0
185	3	2015-06-13	TEST	76.0	42.0	119.0	2.0	0.0
186	3	2015-06-14	TEST	122.0	73.0	186.0	2.0	0.0
187	3	2015-06-15	TEST	71.0	42.0	103.0	0.0	0.0
188	3	2015-06-16	TEST	40.0	25.0	54.0	2.0	0.0
189	3	2015-06-17	TEST	146.0	73.0	224.0	2.0	0.0
190	3	2015-06-18	TEST	114.0	67.0	185.0	0.0	0.0
191	3	2015-06-19	TEST	93.0	50.0	168.0	1.0	0.0
192	3	2015-06-20	TEST	108.0	48.0	190.0	0.0	0.0
193	3	2015-06-21	TEST	78.0	45.0	136.0	0.0	0.0
194	3	2015-06-22	TEST	265.0	132.0	431.0	2.0	0.0
195	3	2015-06-23	TEST	348.0	174.0	584.0	1.0	0.0
196	3	2015-06-24	TEST	174.0	94.0	303.0	0.0	0.0
197	3	2015-06-25	TEST	208.0	110.0	341.0	0.0	0.0
198	3	2015-06-26	TEST	111.0	63.0	201.0	0.0	0.0
199	3	2015-06-27	TEST	262.0	126.0	443.0	1.0	0.0
200	3	2015-06-28	TEST	175.0	95.0	282.0	0.0	0.0
201	3	2015-06-29	TEST	193.0	94.0	327.0	1.0	0.0
202	3	2015-06-30	TEST	148.0	75.0	277.0	0.0	0.0
203	3	2015-07-01	TEST	312.0	185.0	484.0	1.0	0.0
204	3	2015-07-02	TEST	323.0	182.0	489.0	3.0	0.0
205	3	2015-07-03	TEST	226.0	121.0	398.0	0.0	0.0
206	3	2015-07-04	TEST	213.0	132.0	328.0	0.0	0.0
207	3	2015-07-05	TEST	217.0	117.0	343.0	1.0	0.0
208	3	2015-07-06	TEST	195.0	104.0	300.0	2.0	0.0
209	3	2015-07-07	TEST	310.0	170.0	497.0	2.0	0.0
210	3	2015-07-08	TEST	365.0	201.0	583.0	3.0	0.0
211	3	2015-07-09	TEST	267.0	148.0	399.0	1.0	0.0
212	3	2015-07-10	TEST	33.0	18.0	58.0	0.0	0.0
213	4	2015-05-01	StickyAds	80.0	57.0	164.0	6830.0	1810.0
214	4	2015-05-02	StickyAds	52.0	31.0	127.0	5662.0	1212.0
215	4	2015-05-03	StickyAds	47.0	30.0	114.0	6671.0	1568.0
216	4	2015-05-04	StickyAds	56.0	38.0	121.0	8143.0	3002.0
217	4	2015-05-05	StickyAds	61.0	48.0	80.0	9737.0	4592.0
218	4	2015-05-06	StickyAds	79.0	48.0	86.0	9089.0	4012.0
219	4	2015-05-07	StickyAds	65.0	48.0	77.0	9508.0	2791.0
220	4	2015-05-08	StickyAds	37.0	27.0	48.0	8719.0	682.0
221	4	2015-05-09	StickyAds	39.0	31.0	39.0	6780.0	619.0
222	4	2015-05-10	StickyAds	24.0	18.0	23.0	7575.0	644.0
223	4	2015-05-11	StickyAds	95.0	65.0	132.0	13960.0	8159.0
224	4	2015-05-12	StickyAds	148.0	95.0	193.0	8034.0	7436.0
225	4	2015-05-13	StickyAds	106.0	68.0	153.0	8357.0	7077.0
226	4	2015-05-14	StickyAds	75.0	52.0	95.0	8206.0	6403.0
227	4	2015-05-15	StickyAds	106.0	65.0	137.0	9301.0	6886.0
228	4	2015-05-16	StickyAds	80.0	49.0	90.0	6464.0	4843.0
229	4	2015-05-17	StickyAds	40.0	28.0	57.0	5728.0	5081.0
230	4	2015-05-18	StickyAds	95.0	62.0	123.0	8755.0	8292.0
231	4	2015-05-19	StickyAds	125.0	82.0	156.0	9355.0	8091.0
232	4	2015-05-20	StickyAds	964.0	590.0	1321.0	8629.0	4384.0
233	4	2015-05-21	StickyAds	769.0	479.0	1003.0	9756.0	5137.0
234	4	2015-05-22	StickyAds	556.0	343.0	726.0	11510.0	9387.0
235	4	2015-05-23	StickyAds	939.0	575.0	1210.0	7624.0	4790.0
236	4	2015-05-24	StickyAds	1276.0	747.0	1736.0	6089.0	2491.0
237	4	2015-05-25	StickyAds	3020.0	1820.0	3989.0	7961.0	2047.0
238	4	2015-05-26	StickyAds	1511.0	978.0	1931.0	8064.0	2348.0
239	4	2015-05-27	StickyAds	1076.0	748.0	1332.0	9587.0	3654.0
240	4	2015-05-28	StickyAds	480.0	345.0	599.0	9734.0	2175.0
241	4	2015-05-29	StickyAds	492.0	336.0	623.0	9172.0	2331.0
242	4	2015-05-30	StickyAds	338.0	253.0	423.0	6672.0	1873.0
243	4	2015-05-31	StickyAds	387.0	278.0	414.0	3978.0	1971.0
244	4	2015-06-01	StickyAds	1021.0	684.0	1193.0	5758.0	2049.0
245	4	2015-06-02	StickyAds	1686.0	1092.0	2340.0	9664.0	2072.0
246	4	2015-06-03	StickyAds	1460.0	973.0	1937.0	10251.0	1555.0
247	4	2015-06-04	StickyAds	1120.0	726.0	2472.0	10130.0	1091.0
248	4	2015-06-05	StickyAds	954.0	658.0	1832.0	11113.0	997.0
249	4	2015-06-06	StickyAds	388.0	305.0	875.0	9380.0	514.0
250	4	2015-06-07	StickyAds	355.0	270.0	841.0	8690.0	924.0
251	4	2015-06-08	StickyAds	1104.0	707.0	2049.0	11472.0	948.0
252	4	2015-06-09	StickyAds	1279.0	784.0	2513.0	13751.0	654.0
253	4	2015-06-10	StickyAds	969.0	628.0	1931.0	18927.0	2204.0
254	4	2015-06-11	StickyAds	885.0	578.0	1911.0	16615.0	2478.0
255	4	2015-06-12	StickyAds	2336.0	1401.0	4203.0	22496.0	5889.0
256	4	2015-06-13	StickyAds	2129.0	1548.0	3754.0	23748.0	4385.0
257	4	2015-06-14	StickyAds	2358.0	1624.0	3761.0	25521.0	4566.0
258	4	2015-06-15	StickyAds	3261.0	2121.0	8675.0	38567.0	13106.0
259	4	2015-06-16	StickyAds	2432.0	1575.0	7522.0	37540.0	5675.0
260	4	2015-06-17	StickyAds	2515.0	1493.0	6528.0	33847.0	2730.0
261	4	2015-06-18	StickyAds	2593.0	1532.0	6763.0	31232.0	2566.0
262	4	2015-06-19	StickyAds	1993.0	1380.0	4018.0	25280.0	1687.0
263	4	2015-06-20	StickyAds	3891.0	2720.0	7034.0	21870.0	2187.0
