id,job,lat,lng,place,cost,supplydemand
1,Tester,13.0254223821,77.6407241821,KalyanNagar,693,11
1,Tester,13.0045159307,77.5982379913,Jayamahal,921,1
1,Tester,12.9253481646,77.4841690063,Kengeri,732,11
1,Tester,12.9737802491,77.5948905945,KasturbaRoad,879,1
1,Tester,12.9821858949,77.5864362717,KumaraParkEast,812,1
1,Tester,13.1393732508,77.5690984726,DoddaballapuraMainRoad,614,10
1,Tester,12.9318732425,77.5670814514,Thyagarajanagar,672,11
1,Tester,12.5451801735,77.4165344238,Kanakapura,511,10
1,Tester,12.97217018,77.5766944885,BVKIyengarRoad,819,1
1,Tester,12.9709364837,77.5320625305,Vijayanagar,576,10
1,Tester,12.9595192748,77.5933027267,K.HRoad,839,1
1,Tester,12.95688446,77.704668045,VarthurRoad,636,10
1,Tester,12.9889185703,77.5822520256,CrescentRoad,805,1
1,Tester,12.8578705482,77.7862930298,Sarjapur,844,1
1,Tester,13.0085301061,77.6304674149,Lingarajapuram,528,10
1,Tester,12.9747421035,77.6011991501,St.MarksRoad,900,1
1,Tester,12.9737802491,77.6434707642,HAL2ndStage,586,10
1,Tester,12.9606066506,77.5814151764,Kalasipalyam,796,11
1,Tester,12.9744493656,77.5778532028,KempegowdaRoad,877,1
1,Tester,13.0105789831,77.5827884674,Sadhashivnagar,535,10
1,Tester,12.9737802491,77.5868225098,AshokNagar,748,11
1,Tester,12.8988278244,77.5406455994,Subramanyapura,526,10
1,Tester,12.9682599689,77.5963068008,LavelleRoad,862,1
1,Tester,12.9781712935,77.6153182983,DickensonRoad,765,11
1,Tester,12.9617672099,77.6145994663,AustinTown,599,10
1,Tester,13.0417699978,77.5734329224,Nagashettyhalli,706,11
1,Tester,12.9737802491,77.5868225098,CookeTown,693,11
1,Tester,12.9737802491,77.5868225098,Kaggalipura,639,10
1,Tester,12.9876640483,77.5651931763,Srirampuram,505,10
1,Tester,12.903178357,77.7114486694,Carmelram,753,11
1,Tester,12.9662525639,77.6259613037,AirportRoad,740,11
1,Tester,12.9737802491,77.5868225098,Bidadi,707,11
1,Tester,12.9534549766,77.6199531555,Viveknagar,800,11
1,Tester,12.9653115873,77.6176357269,VictoriaRoad,643,10
1,Tester,13.0503823736,77.5123214722,Dasarahalli,529,10
1,Tester,12.98640952,77.59557724,CunninghamRoad,669,11
1,Tester,12.9741984471,77.5787115097,K.GCircle,648,10
1,Tester,12.9133850788,77.5876808167,JPNagar,559,10
1,Tester,12.9703928189,77.6110696793,MagrathRoad,542,10
1,Tester,12.9112099107,77.6348876953,HSRLayout,725,11
1,Tester,13.0349551383,77.5296163559,TumkurRoad,873,1
1,Tester,12.946010326,77.5767588615,KanakapuraMainRoad,914,1
1,Tester,13.0223701502,77.602250576,Sultanpalya,591,10
1,Tester,12.9737802491,77.5868225098,MysoreRoad,563,10
1,Tester,12.9692218447,77.5951051712,VittalMallyaRoad,629,10
1,Tester,12.9391091871,77.696814537,Kadubeesanahalli,710,11
1,Tester,12.8974055185,77.6106834412,Bilekahalli,818,1
1,Tester,13.0761340949,77.5078582764,Chikkabanavara,607,10
1,Tester,12.9261010669,77.6083660126,BalajiNagar,657,11
1,Tester,12.9684272519,77.6544570923,HAL3rdStage,667,11
1,Tester,13.0390942471,77.4902629852,Nagasandra,911,1
1,Tester,12.9804295147,77.6042890549,InfantryRoad,696,11
1,Tester,12.8442724252,77.6700782776,ElectronicCity,845,1
1,Tester,12.9543750866,77.509059906,BangaloreUniversity,704,11
1,Tester,13.0022161134,77.5744628906,Vyalikaval,762,11
1,Tester,12.9635759988,77.6371192932,Domlur,553,10
1,Tester,13.0056449241,77.5802135468,SankeyRoad,828,1
1,Tester,13.0646381226,77.5862216949,SahakaraNagar,546,10
1,Tester,13.0405157433,77.5658798218,RMV2ndStage,737,11
1,Tester,13.0381326422,77.5624895096,DollarsColony,931,1
1,Tester,12.9597283859,77.655916214,HALAirportRoad,614,10
1,Tester,12.9812240692,77.5973796844,QueensRoad,531,10
1,Tester,12.9300328532,77.5577259064,Kathriguppe,818,1
1,Tester,12.9737802491,77.5868225098,TanneryRoad,802,1
1,Tester,13.0264676584,77.5717163086,NewBELRoad,920,1
1,Tester,12.9844858977,77.661151886,CVRamanNagar,736,11
1,Tester,13.070365274,77.7888679504,Hoskote,587,10
1,Tester,13.03733827,77.7303314209,Virgonagar,824,1
1,Tester,13.0383416871,77.582359314,Sanjaynagar,696,11
1,Tester,12.9824786237,77.5768661499,Gandhinagar,872,1
1,Tester,12.957783646,77.576469183,DispensaryRoad,708,11
1,Tester,13.0215339157,77.5881099701,GangaNagar,794,11
1,Tester,12.9737802491,77.5868225098,DJHalli,531,10
1,Tester,12.9737802491,77.5868225098,K.GNagar,635,10
1,Tester,13.2967523618,77.5511169434,Rajkunte,942,1
1,Tester,12.9737802491,77.5868225098,KumaraKrupa,740,11
1,Tester,12.9737802491,77.5868225098,Chamarajpet,521,10
1,Tester,13.0160983226,77.6466464996,HRBRLayout,577,10
1,Tester,12.9643287856,77.5783038139,K.RMarket,507,10
1,Tester,12.9522002758,77.5777244568,VVPuram,797,11
1,Tester,12.9601466076,77.657289505,Murugeshpalya,817,1
1,Tester,12.9721074498,77.5142097473,Nagarbhavi,678,11
1,Tester,12.9745748248,77.6076793671,BrigadeRoad,724,11
1,Tester,12.9743657261,77.6130008698,M.GRoad,794,11
1,Tester,12.9960274083,77.5748920441,PalaceGuttahalli,670,11
1,Tester,12.9996026588,77.6000833511,NandidurgaRoad,551,10
1,Tester,12.9267703115,77.6498222351,Bellandur,546,10
1,Tester,12.9629904963,77.5998687744,LangfordGardens,729,11
1,Tester,12.9543750866,77.5979804993,Shanthinagar,733,11
1,Tester,13.0058958108,77.6576328278,KasturiNagar,556,10
1,Tester,12.9604811844,77.6465606689,Kodihalli,943,1
1,Tester,12.9737802491,77.5868225098,HaudinRoad,614,10
1,Tester,12.9319987231,77.5737333298,KRRoad,718,11
1,Tester,12.9813077064,77.6117134094,St.JohnsRoad,646,10
1,Tester,12.9776276446,77.6525688171,NewThippasandra,805,1
1,Tester,12.9737802491,77.5868225098,Gavipuram,551,10
1,Tester,13.0206140544,77.5499153137,MahalakshmiLayout,922,1
1,Tester,12.963994214,77.603302002,RichmondTown,758,11
1,Tester,12.9759548712,77.6901626587,Doddanekundi,818,1
1,Tester,13.1644052736,77.4862289429,Hesaraghatta,931,1
1,Tester,12.9754216724,77.6037955284,ChurchStreet,717,11
1,Tester,12.9971773483,77.5873160362,PalaceCrossRoad,648,10
1,Tester,12.9737802491,77.5868225098,St.ThomasTown,683,11
1,Tester,12.9830640803,77.6071643829,CommercialStreet,913,1
1,Tester,12.9386491044,77.5232219696,Nayandahalli,642,10
1,Tester,12.9570517506,77.6347160339,Agaram,906,1
1,Tester,13.0602486102,77.6412391663,Kothanur,671,11
1,Tester,12.9398202224,77.6299953461,Ejipura,622,10
1,Tester,12.9872458729,77.6484918594,OldMadrasRoad,582,10
1,Tester,12.9737802491,77.5868225098,HanumanthaNagar,741,11
1,Tester,12.9199104693,77.5541210175,PadmanabhaNagar,701,11
1,Tester,12.8906076212,77.5986242294,ArakereGate,888,1
1,Tester,12.9737802491,77.5868225098,Ramanagaram,604,10
1,Tester,12.9615999224,77.6153826714,RaceCourseRoad,877,1
1,Tester,13.0818191778,77.5581550598,Vidyaranyapura,796,11
1,Tester,13.1760637235,77.5624895096,Rajanukunte,742,11
1,Tester,12.9928493647,77.5916290283,Vasanthanagar,864,1
1,Tester,13.0027178935,77.6778030396,Krishnarajapuram,831,1
1,Tester,12.9656670678,77.6033234596,RichmondRoad,713,11
1,Tester,13.0085719201,77.5643348694,Malleswaram,799,11
1,Tester,12.959226519,77.5697851181,Kumbalgodu,500,10
1,Tester,12.9977418624,77.6199102402,CoxTown,928,1
1,Tester,13.2466293486,77.7083587646,Devanhalli,727,11
1,Tester,13.0002089827,77.6329994202,Maruthisevanagar,647,10
1,Tester,13.0622552541,77.6065635681,Byatarayanapura,650,10
1,Tester,12.9723583704,77.6077651978,ResidencyRoad,876,1
1,Tester,12.9737802491,77.5868225098,DoubleRoad,655,11
1,Tester,12.9737802491,77.5868225098,Bhoopasandra,761,11
1,Tester,12.9833149898,77.6148033142,Ulsoor,521,10
1,Tester,12.9566126124,77.5816297531,JCRoad,659,11
1,Tester,12.9874967782,77.5911140442,MillersRoad,789,11
1,Tester,12.9217509333,77.6199531555,HosurRoad,607,10
1,Tester,12.9984109144,77.6148462296,FrazerTown,535,10
1,Tester,12.9737802491,77.5868225098,Nagawara,857,1
1,Tester,12.9737802491,77.5868225098,Shampur,712,11
1,Tester,12.9619449528,77.5989031792,LangfordRoad,518,10
1,Tester,12.9496072074,77.5188446045,ChandraLayout,590,10
1,Tester,12.9961528566,77.6172065735,WheelersRoad,853,1
1,Tester,12.9737802491,77.5868225098,KumaraParkWest,566,10
1,Tester,13.0115825085,77.5102615356,Viswaneedam,820,1
1,Tester,13.0209485498,77.5967788696,RTNagar,876,1
1,Tester,12.9080307849,77.6287078857,Bommanahalli,714,11
1,Tester,12.9737802491,77.5868225098,MuseumRoad,511,10
1,Tester,13.0346624715,77.516784668,PeenyaIndustrialArea,684,11
1,Tester,12.9936856959,77.692565918,Mahadevapura,712,11
1,Tester,12.9798858708,77.6067352295,MainGuardCrossRoad,860,1
1,Tester,12.9724211005,77.5982272625,WaltonRoad,736,11
1,Tester,12.899497142,77.5820159912,Puttenahalli,594,10
1,Tester,12.9707692023,77.57188797,Chickpet,698,11
1,Tester,13.0069829837,77.592959404,JCNagar,540,10
1,Tester,12.9737802491,77.5868225098,CubbonPark,944,1
1,Tester,12.8834330247,77.564163208,Konanakunte,790,11
1,Tester,12.9543750866,77.7011489868,Marathahalli,775,11
1,Tester,13.0257986821,77.5670814514,Mathikere,703,11
1,Tester,12.9215836189,77.6280212402,Madivala,932,1
1,Tester,12.9648306423,77.661151886,JeevanbheemaNagar,525,10
1,Tester,12.9324588181,77.5818443298,Jayanagar,794,11
1,Tester,12.9729438509,77.6393508911,Indiranagar,664,11
1,Tester,12.9127157983,77.510175705,RajaRajeshwariNagar,700,11
1,Tester,13.0273038762,77.6271629333,HBRLayout,583,10
1,Tester,13.0535596792,77.5420188904,Jalahalli,769,11
1,Tester,12.9737802491,77.5868225098,BangaloreCBD,753,11
1,Tester,12.9737802491,77.5868225098,MissionRoad,773,11
1,Tester,13.032153884,77.6226997375,ArabicCollege,565,10
1,Tester,13.2116624326,77.6461315155,Sadahalli,814,1
1,Tester,12.9794676823,77.7241516113,Whitefield,855,1
