id,job,place,lat,lng,supplydemand,cost
1,Tester,KalyanNagar,13.0254223821,77.6407241821,1,850
1,Tester,Jayamahal,13.0045159307,77.5982379913,10,513
1,Tester,Kengeri,12.9253481646,77.4841690063,1,850
1,Tester,KasturbaRoad,12.9737802491,77.5948905945,1,946
1,Tester,KumaraParkEast,12.9821858949,77.5864362717,1,903
1,Tester,DoddaballapuraMainRoad,13.1393732508,77.5690984726,1,814
1,Tester,Thyagarajanagar,12.9318732425,77.5670814514,10,564
1,Tester,Kanakapura,12.5451801735,77.4165344238,11,772
1,Tester,BVKIyengarRoad,12.97217018,77.5766944885,1,932
1,Tester,Vijayanagar,12.9709364837,77.5320625305,10,504
1,Tester,K.HRoad,12.9595192748,77.5933027267,11,709
1,Tester,VarthurRoad,12.95688446,77.704668045,1,824
1,Tester,CrescentRoad,12.9889185703,77.5822520256,11,661
1,Tester,Sarjapur,12.8578705482,77.7862930298,10,648
1,Tester,Lingarajapuram,13.0085301061,77.6304674149,1,934
1,Tester,St.MarksRoad,12.9747421035,77.6011991501,11,783
1,Tester,HAL2ndStage,12.9737802491,77.6434707642,11,731
1,Tester,Kalasipalyam,12.9606066506,77.5814151764,1,806
1,Tester,KempegowdaRoad,12.9744493656,77.5778532028,11,686
1,Tester,Sadhashivnagar,13.0105789831,77.5827884674,1,831
1,Tester,AshokNagar,12.9737802491,77.5868225098,10,619
1,Tester,Subramanyapura,12.8988278244,77.5406455994,10,541
1,Tester,LavelleRoad,12.9682599689,77.5963068008,11,673
1,Tester,DickensonRoad,12.9781712935,77.6153182983,11,739
1,Tester,AustinTown,12.9617672099,77.6145994663,10,500
1,Tester,Nagashettyhalli,13.0417699978,77.5734329224,10,552
1,Tester,CookeTown,12.9737802491,77.5868225098,10,647
1,Tester,Kaggalipura,12.9737802491,77.5868225098,11,746
1,Tester,Srirampuram,12.9876640483,77.5651931763,11,721
1,Tester,Carmelram,12.903178357,77.7114486694,11,757
1,Tester,AirportRoad,12.9662525639,77.6259613037,10,559
1,Tester,Bidadi,12.9737802491,77.5868225098,10,556
1,Tester,Viveknagar,12.9534549766,77.6199531555,11,674
1,Tester,VictoriaRoad,12.9653115873,77.6176357269,10,608
1,Tester,Dasarahalli,13.0503823736,77.5123214722,11,760
1,Tester,CunninghamRoad,12.98640952,77.59557724,11,748
1,Tester,K.GCircle,12.9741984471,77.5787115097,1,824
1,Tester,JPNagar,12.9133850788,77.5876808167,11,696
1,Tester,MagrathRoad,12.9703928189,77.6110696793,1,938
1,Tester,HSRLayout,12.9112099107,77.6348876953,1,837
1,Tester,TumkurRoad,13.0349551383,77.5296163559,1,896
1,Tester,KanakapuraMainRoad,12.946010326,77.5767588615,1,911
1,Tester,Sultanpalya,13.0223701502,77.602250576,11,687
1,Tester,MysoreRoad,12.9737802491,77.5868225098,10,578
1,Tester,VittalMallyaRoad,12.9692218447,77.5951051712,1,806
1,Tester,Kadubeesanahalli,12.9391091871,77.696814537,1,850
1,Tester,Bilekahalli,12.8974055185,77.6106834412,11,724
1,Tester,Chikkabanavara,13.0761340949,77.5078582764,1,851
1,Tester,BalajiNagar,12.9261010669,77.6083660126,11,794
1,Tester,HAL3rdStage,12.9684272519,77.6544570923,11,697
1,Tester,Nagasandra,13.0390942471,77.4902629852,10,626
1,Tester,InfantryRoad,12.9804295147,77.6042890549,10,510
1,Tester,ElectronicCity,12.8442724252,77.6700782776,1,821
1,Tester,BangaloreUniversity,12.9543750866,77.509059906,11,786
1,Tester,Vyalikaval,13.0022161134,77.5744628906,10,591
1,Tester,Domlur,12.9635759988,77.6371192932,11,687
1,Tester,SankeyRoad,13.0056449241,77.5802135468,11,759
1,Tester,SahakaraNagar,13.0646381226,77.5862216949,1,814
1,Tester,RMV2ndStage,13.0405157433,77.5658798218,11,796
1,Tester,DollarsColony,13.0381326422,77.5624895096,10,604
1,Tester,HALAirportRoad,12.9597283859,77.655916214,11,735
1,Tester,QueensRoad,12.9812240692,77.5973796844,1,887
1,Tester,Kathriguppe,12.9300328532,77.5577259064,11,771
1,Tester,TanneryRoad,12.9737802491,77.5868225098,10,608
1,Tester,NewBELRoad,13.0264676584,77.5717163086,1,833
1,Tester,CVRamanNagar,12.9844858977,77.661151886,10,645
1,Tester,Hoskote,13.070365274,77.7888679504,11,796
1,Tester,Virgonagar,13.03733827,77.7303314209,1,802
1,Tester,Sanjaynagar,13.0383416871,77.582359314,1,897
1,Tester,Gandhinagar,12.9824786237,77.5768661499,1,915
1,Tester,DispensaryRoad,12.957783646,77.576469183,10,633
1,Tester,GangaNagar,13.0215339157,77.5881099701,11,678
1,Tester,DJHalli,12.9737802491,77.5868225098,10,536
1,Tester,K.GNagar,12.9737802491,77.5868225098,11,717
1,Tester,Rajkunte,13.2967523618,77.5511169434,10,545
1,Tester,KumaraKrupa,12.9737802491,77.5868225098,1,884
1,Tester,Chamarajpet,12.9737802491,77.5868225098,1,895
1,Tester,HRBRLayout,13.0160983226,77.6466464996,10,584
1,Tester,K.RMarket,12.9643287856,77.5783038139,10,593
1,Tester,VVPuram,12.9522002758,77.5777244568,10,554
1,Tester,Murugeshpalya,12.9601466076,77.657289505,10,627
1,Tester,Nagarbhavi,12.9721074498,77.5142097473,11,760
1,Tester,BrigadeRoad,12.9745748248,77.6076793671,1,814
1,Tester,M.GRoad,12.9743657261,77.6130008698,1,837
1,Tester,PalaceGuttahalli,12.9960274083,77.5748920441,1,922
1,Tester,NandidurgaRoad,12.9996026588,77.6000833511,11,682
1,Tester,Bellandur,12.9267703115,77.6498222351,1,923
1,Tester,LangfordGardens,12.9629904963,77.5998687744,11,793
1,Tester,Shanthinagar,12.9543750866,77.5979804993,11,665
1,Tester,KasturiNagar,13.0058958108,77.6576328278,10,595
1,Tester,Kodihalli,12.9604811844,77.6465606689,1,853
1,Tester,HaudinRoad,12.9737802491,77.5868225098,1,855
1,Tester,KRRoad,12.9319987231,77.5737333298,1,941
1,Tester,St.JohnsRoad,12.9813077064,77.6117134094,1,868
